"dataset","Patient_ID","Timepoint","cluster","Cell_Type","n_subtypes","original_subtypes"
"SMC","OB_0163","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0168","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0168","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0190","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0190","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0234","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0234","Surgery","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0235","Biopsy","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0235","Surgery","C3","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
"SMC","OB_0237","Biopsy","C2","T cell CD4+ (aggregated)",7,"T cell CD4+ (non-regulatory) + T cell CD4+ central memory + T cell CD4+ effector memory + T cell CD4+ memory + T cell CD4+ naive + T cell CD4+ Th1 + T cell CD4+ Th2"
